U1484	0.272000
u4/U1388	0.243000
U860	0.221000
U1219	0.216000
u4/U1548	0.212000
U1490	0.207000
U1477	0.206000
u4/U1549	0.196000
u4/U1047	0.165000
exp_r_reg_0	0.162000
u4/U450	0.158000
u4/FE_DBTC28_n259	0.157000
u4/U1247	0.146000
u4/U1399	0.133000
u4/DP_OP_208J1_132_5761_U3	0.130000
u4/U1550	0.130000
u4/U1672	0.123000
U1184	0.120000
u4/intadd_24_U6	0.116000
U1177	0.116000
u4/U1055	0.114000
U1174	0.113000
u4/U317	0.112000
U1173	0.111000
U1166	0.111000
u4/U319	0.110000
U1175	0.108000
u4/U75	0.107000
U1169	0.105000
u4/U1533	0.103000
u4/U61	0.102000
U1186	0.101000
U1170	0.101000
u4/U1542	0.100000
u4/U1551	0.100000
U1171	0.100000
U1176	0.099000
u4/U425	0.098000
U1172	0.098000
u4/DP_OP_208J1_132_5761_U9	0.094000
u4/U1414	0.092000
opb_r_reg_29	0.089000
U1185	0.086000
u4/U1436	0.083000
u4/intadd_24_U2	0.082000
u4/U1521	0.082000
u4/U1532	0.082000
